scenario,protocol,architecture,traffic_level,num_spots,sim_duration_s,access_loss,backhaul_loss,agg_interval_s,mqtt_qos,coap_mode,amqp_exchange,amqp_ack,amqp_durable,heartbeat_interval_s,n_runs,seeds,metric,mean,std,ci95_low,ci95_high,ci95_halfwidth
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,cloud_reflection_ratio,0.9748,0.007694,0.965248,0.984352,0.009552
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,physical_delivery_ratio,0.92958,0.002735,0.926184,0.932976,0.003396
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,backhaul_delivery_ratio,1.0,0.0,1.0,1.0,0.0
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,message_reduction_ratio,0.48432,0.002647,0.481034,0.487606,0.003286
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,aggregation_ratio,1.0,0.0,1.0,1.0,0.0
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_bytes_sent,913692.2,17353.299202,892148.687428,935235.712572,21543.512572
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_sent,4720.2,87.095924,4612.073464,4828.326536,108.126536
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_delivered,4720.2,87.095924,4612.073464,4828.326536,108.126536
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_e2c_sent,745441.4,13087.80678,729193.346727,761689.453273,16248.053273
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_s2e_sent,184485.0,1958.904668,182053.088531,186916.911469,2431.911469
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_retransmissions,198.2,15.482248,178.979332,217.420668,19.220668
